Model,Risk_Type,TP,FP,FN
DeepSeek-R1-0528-Qwen3-8B,Sensitive Data Exfiltration,7,21,18
DeepSeek-R1-0528-Qwen3-8B,Denial-of-Service,6,7,20
DeepSeek-R1-0528-Qwen3-8B,Privilege Escalation,4,12,25
DeepSeek-R1-0528-Qwen3-8B,Cache or Local State Pollution,1,4,16
DeepSeek-R1-0528-Qwen3-8B,Persistence via Backdoor Implantation,6,2,23
DeepSeek-R1-0528-Qwen3-8B,Log Explosion Attacks,6,2,32
DeepSeek-R1-0528-Qwen3-8B,Covert Channel Attack,4,11,23
DeepSeek-R1-0528-Qwen3-8B,Malicious Code Execution,3,12,21
DeepSeek-R1-0528-Qwen3-8B,Delayed or Timed Trigger Attacks,0,0,26
Llama3.1-8B-Instruct,Log Explosion Attacks,0,2,18
Llama3.1-8B-Instruct,Malicious Code Execution,2,3,23
Llama3.1-8B-Instruct,Delayed or Timed Trigger Attacks,0,0,26
Llama3.1-8B-Instruct,Privilege Escalation,6,14,26
Llama3.1-8B-Instruct,Sensitive Data Exfiltration,6,20,31
Llama3.1-8B-Instruct,Covert Channel Attack,2,11,22
Llama3.1-8B-Instruct,Persistence via Backdoor Implantation,1,4,27
Llama3.1-8B-Instruct,Cache or Local State Pollution,2,0,20
Llama3.1-8B-Instruct,Denial-of-Service,4,3,19
Qwen3-4B-Instruct,Denial-of-Service,2,1,16
Qwen3-4B-Instruct,Covert Channel Attack,4,15,32
Qwen3-4B-Instruct,Persistence via Backdoor Implantation,0,0,17
Qwen3-4B-Instruct,Malicious Code Execution,0,2,21
Qwen3-4B-Instruct,Cache or Local State Pollution,0,0,23
Qwen3-4B-Instruct,Delayed or Timed Trigger Attacks,0,0,30
Qwen3-4B-Instruct,Privilege Escalation,5,0,29
Qwen3-4B-Instruct,Log Explosion Attacks,2,0,21
Qwen3-4B-Instruct,Sensitive Data Exfiltration,4,4,25
Qwen3Guard-Gen-4B,Denial-of-Service,0,0,19
Qwen3Guard-Gen-4B,Covert Channel Attack,0,0,21
Qwen3Guard-Gen-4B,Delayed or Timed Trigger Attacks,0,0,19
Qwen3Guard-Gen-4B,Privilege Escalation,0,0,23
Qwen3Guard-Gen-4B,Cache or Local State Pollution,0,0,36
Qwen3Guard-Gen-4B,Persistence via Backdoor Implantation,0,0,23
Qwen3Guard-Gen-4B,Malicious Code Execution,0,1,17
Qwen3Guard-Gen-4B,Log Explosion Attacks,0,0,23
Qwen3Guard-Gen-4B,Sensitive Data Exfiltration,1,0,16
grpo_DeepSeek-R1-0528-Qwen3-8B,Cache or Local State Pollution,16,20,8
grpo_DeepSeek-R1-0528-Qwen3-8B,Malicious Code Execution,14,10,4
grpo_DeepSeek-R1-0528-Qwen3-8B,Denial-of-Service,21,7,7
grpo_DeepSeek-R1-0528-Qwen3-8B,Sensitive Data Exfiltration,15,24,6
grpo_DeepSeek-R1-0528-Qwen3-8B,Privilege Escalation,33,8,5
grpo_DeepSeek-R1-0528-Qwen3-8B,Covert Channel Attack,15,25,15
grpo_DeepSeek-R1-0528-Qwen3-8B,Persistence via Backdoor Implantation,18,13,10
grpo_DeepSeek-R1-0528-Qwen3-8B,Log Explosion Attacks,23,13,9
grpo_DeepSeek-R1-0528-Qwen3-8B,Delayed or Timed Trigger Attacks,17,48,6
grpo_Llama-Guard-3-8B,Cache or Local State Pollution,19,1,18
grpo_Llama-Guard-3-8B,Denial-of-Service,17,1,8
grpo_Llama-Guard-3-8B,Persistence via Backdoor Implantation,6,1,20
grpo_Llama-Guard-3-8B,Delayed or Timed Trigger Attacks,17,3,14
grpo_Llama-Guard-3-8B,Malicious Code Execution,16,7,6
grpo_Llama-Guard-3-8B,Covert Channel Attack,19,6,10
grpo_Llama-Guard-3-8B,Log Explosion Attacks,16,0,9
grpo_Llama-Guard-3-8B,Privilege Escalation,8,0,11
grpo_Llama-Guard-3-8B,Sensitive Data Exfiltration,19,14,3
grpo_Llama3.1-8B-Instruct,Persistence via Backdoor Implantation,12,1,13
grpo_Llama3.1-8B-Instruct,Sensitive Data Exfiltration,14,1,15
grpo_Llama3.1-8B-Instruct,Cache or Local State Pollution,21,1,10
grpo_Llama3.1-8B-Instruct,Privilege Escalation,15,6,8
