Model,TP,FP,FN,TN,Valid_Count,Accuracy,Precision,Recall
DeepSeek-R1-0528-Qwen3-8B,86,22,172,188,468,0.59,0.80,0.33
Llama3.1-8B-Instruct,53,27,214,175,469,0.49,0.66,0.20
Qwen3-4B-Instruct,38,1,223,204,466,0.52,0.97,0.15
Qwen3Guard-Gen-4B,2,0,245,222,469,0.48,1.00,0.01
grpo_DeepSeek-R1-0528-Qwen3-8B,206,134,36,95,471,0.64,0.61,0.85
grpo_Llama-Guard-3-8B,148,22,88,212,470,0.77,0.87,0.63
grpo_Llama3.1-8B-Instruct,179,2,82,207,470,0.82,0.99,0.69
grpo_Qwen3-4B-Instruct,229,125,12,104,470,0.71,0.65,0.95
grpo_Qwen3Guard-Gen-4B,180,59,52,178,469,0.76,0.75,0.78
sft_DeepSeek-R1-0528-Qwen3-8B,206,166,36,63,471,0.57,0.55,0.85
sft_Llama-Guard-3-8B,235,188,20,28,471,0.56,0.56,0.92
sft_Llama3.1-8B-Instruct,217,180,34,39,470,0.54,0.55,0.86
sft_Qwen3-4B-Instruct,239,193,14,24,470,0.56,0.55,0.94
sft_Qwen3Guard-Gen-4B,223,179,21,48,471,0.58,0.55,0.91
